Round,System_Average,System_Variance,Standard_Deviation
1,5.2,8.885714285714288,2.980891525318271
2,6.533333333333333,4.123809523809524,2.0307165050320353
3,5.733333333333333,6.638095238095238,2.5764501233470907
4,6.533333333333333,5.838095238095238,2.416215064536938
5,5.866666666666666,6.552380952380951,2.5597618936887376
6,5.8,5.457142857142856,2.336052836975837
7,5.733333333333333,5.6380952380952385,2.374467358818655
8,5.4,8.257142857142856,2.8735244660769563
9,5.466666666666667,7.1238095238095225,2.6690465570704314
10,5.6,6.4,2.5298221281347035
